,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
22,4915,Shop with Affiliates  1917-S,FB  +,,,,150,350  400,575  750,"1,250  1,650","2,600  3,150",8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4916,Shop with Affiliates  1918,MS  +,6,16,45,100,200  210,225  250,450  600,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4917,Shop with Affiliates  1918,FB  +,,,,200,300  350,500  650,"1,400  2,150","4,000  8,250","17,500  60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4918,Shop with Affiliates  1918-D,MS  +,6,10,45,150,350  400,475  525,"1,200  1,500","2,000  2,500",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4919,Shop with Affiliates  1918-D,FB  +,,,,750,"2,750  3,000","4,000  8,000","17,500  25,000","65,000  90,000",200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4920,Shop with Affiliates  1918-S,MS  +,5,9,35,185,350  375,450  550,"950  1,200","1,500  2,250",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4921,Shop with Affiliates  1918-S,FB  +,,,,750,"4,000  4,500","5,000  6,000","7,750  9,500","26,500  40,000","150,000  200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4922,Shop with Affiliates  1919,MS  +,5,9,20,75,200  220,240  275,400  500,"850  1,250",1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4923,Shop with Affiliates  1919,FB  +,,,,125,275  325,425  575,"900  1,200","1,750  2,750","9,000  17,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4924,Shop with Affiliates  1919-D,MS  +,10,20,65,425,725  850,"1,025  1,250","1,750  2,750","4,500  6,000",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4925,Shop with Affiliates  1919-D,FB  +,,,,1000,"3,300  3,750","4,250  5,250","42,500  60,000",175000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4926,Shop with Affiliates  1919-S,MS  +,6,15,75,450,"1,200  1,450","1,650  1,900","2,250  2,550","3,000  3,500","4,000  5,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4927,Shop with Affiliates  1919-S,FB  +,,,,1100,"3,500  4,250","6,500  8,000","30,000  42,500","70,000  110,000",135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4928,Shop with Affiliates  1920,MS  +,5,9,15,50,110  125,135  175,250  350,550  750,"1,750  2,250",3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4929,Shop with Affiliates  1920,FB  +,,,,85,160  200,250  350,500  675,"900  1,250","2,250  10,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4930,Shop with Affiliates  1920-D,MS  +,5,10,45,225,425  500,575  625,700  850,"1,750  2,350",4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4931,Shop with Affiliates  1920-D,FB  +,,,,350,"1,050  1,400","1,850  2,500","3,250  4,500","9,750  15,000","60,000  70,000",95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4932,Shop with Affiliates  1920-S,MS  +,6,12,40,275,625  750,"900  1,100","1,600  1,900",2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4933,Shop with Affiliates  1920-S,FB  +,,,,750,"1,750  2,000","3,000  4,000","6,000  7,500","10,000  12,500","85,000  110,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4934,Shop with Affiliates  1921,MS  +,60,175,550,1650,"2,500  2,650","3,000  3,500","4,250  7,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4935,Shop with Affiliates  1921,FB  +,,,,2250,"4,000  4,500","5,000  5,500","6,500  7,750","10,750  18,500",37500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4936,Shop with Affiliates  1921-D,MS  +,100,250,750,1750,"2,850  3,250","3,750  4,000","4,500  5,000","5,750  7,500","12,000  27,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4937,Shop with Affiliates  1921-D,FB  +,,,,2100,"4,750  5,250","5,750  6,500","8,750  12,000","17,500  32,500",47500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4938,Shop with Affiliates  1923,MS  +,5,6,14,55,65  70,75  100,175  200,275  350,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4939,Shop with Affiliates  1923,FB  +,,,,60,100  125,175  225,375  450,550  850,"1,450  1,850","12,500  50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4940,Shop with Affiliates  1923-S,MS  +,6,15,85,325,550  650,"900  1,050","1,400  1,750","2,500  3,250",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4941,Shop with Affiliates  1923-S,FB  +,,,,450,"1,450  1,900","2,500  3,500","8,250  17,500","75,000  85,000",110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4942,Shop with Affiliates  1924,MS  +,6,10,20,70,110  125,175  200,250  300,400  500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4943,Shop with Affiliates  1924,FB  +,,,,75,175  200,325  425,600  800,"1,100  1,500","3,150  10,000",20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4944,Shop with Affiliates  1924-D,MS  +,6,15,75,275,475  525,625  750,"1,000  1,250","1,850  2,250",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4945,Shop with Affiliates  1924-D,FB  +,,,,375,725  850,"1,200  1,400","1,850  2,250","3,350  4,250",17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4946,Shop with Affiliates  1924-S,MS  +,5,10,65,350,650  750,"950  1,150","2,000  2,350","3,500  5,000",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4947,Shop with Affiliates  1924-S,FB  +,,,,500,"1,500  1,750","2,750  3,750","18,500  25,000",60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4948,Shop with Affiliates  1925,MS  +,5,6,12,70,100  125,165  225,300  350,550  650,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4949,Shop with Affiliates  1925,FB  +,,,,100,240  260,280  350,"1,100  1,250","1,600  1,850","3,000  15,000","45,000  60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4950,Shop with Affiliates  1925-D,MS  +,8,25,150,550,850  925,"1,050  1,250","2,000  2,400",3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4951,Shop with Affiliates  1925-D,FB  +,,,,600,"1,500  1,850","2,750  3,250","4,500  5,500","10,000  16,000","21,500  47,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4952,Shop with Affiliates  1925-S,MS  +,6,20,100,425,750  900,"1,075  1,200","1,450  2,000",3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4953,Shop with Affiliates  1925-S,FB  +,,,,650,"1,250  1,500","2,500  3,000","3,600  4,500","8,000  11,000",67500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4954,Shop with Affiliates  1926,MS  +,5,6,10,50,75  85,125  150,225  275,400  550,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4955,Shop with Affiliates  1926,FB  +,,,,60,125  150,215  275,400  475,"950  1,250","3,800  6,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4956,Shop with Affiliates  1926-D,MS  +,6,10,40,210,350  425,525  575,650  800,"1,750  2,250",3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4957,Shop with Affiliates  1926-D,FB  +,,,,300,700  875,"1,200  1,450","2,850  3,350","4,500  5,500","50,000  77,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4958,Shop with Affiliates  1926-S,MS  +,14,50,300,1850,"3,150  3,450","3,750  4,000","4,250  4,750","6,000  7,000",13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4959,Shop with Affiliates  1926-S,FB  +,,,,2000,"5,000  5,750","6,500  7,250","9,000  12,000","30,000  37,500",70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4960,Shop with Affiliates  1927,MS  +,5,6,10,40,75  90,130  160,185  265,375  475,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4961,Shop with Affiliates  1927,FB  +,,,,50,130  165,200  250,550  625,"1,000  1,250","1,750  10,000",25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4962,Shop with Affiliates  1927-D,MS  +,6,15,110,275,750  850,"1,250  1,350","1,750  2,000","2,350  3,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4963,Shop with Affiliates  1927-D,FB  +,,,,500,"2,150  2,500","4,500  5,250","8,500  12,000","20,000  30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4964,Shop with Affiliates  1927-S,MS  +,6,10,40,400,800  900,"1,100  1,250","1,500  1,750","3,000  4,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4965,Shop with Affiliates  1927-S,FB  +,,,,450,"3,500  4,000","4,500  5,000","7,000  7,750","19,000  25,000",75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4966,Shop with Affiliates  1928,MS  +,5,6,9,35,85  100,125  150,175  225,400  550,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4967,Shop with Affiliates  1928,FB  +,,,,60,125  150,225  300,450  575,"675  1,150","2,000  5,500",22500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4968,Shop with Affiliates  1928-D,MS  +,8,20,80,250,500  550,600  750,"1,000  1,250","1,850  2,250",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4969,Shop with Affiliates  1928-D,FB  +,,,,500,"1,050  1,250","2,500  2,850","3,150  3,750","5,750  11,500",45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4970,Shop with Affiliates  1928-S,MS  +,5,9,35,200,350  375,400  500,675  775,"900  1,250","2,000  5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4971,Shop with Affiliates  1928-S,FB  +,,,,400,"900  1,000","1,250  1,650","3,600  4,250","6,000  10,500","16,000  36,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4972,Shop with Affiliates  1929,MS  +,5,5,9,28,50  55,65  75,100  125,225  300,"500  3,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4973,Shop with Affiliates  1929,FB  +,,,,40,75  85,125  175,325  400,500  600,"1,350  5,000",13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4974,Shop with Affiliates  1929-D,MS  +,5,7,15,35,60  70,100  110,125  150,225  300,"600  1,750","3,250  6,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4975,Shop with Affiliates  1929-D,FB  +,,,,50,125  150,200  250,350  450,725  900,"2,000  2,500",25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4976,Shop with Affiliates  1929-S,MS  +,5,6,12,45,75  85,150  175,225  275,350  525,"850  1,250",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4977,Shop with Affiliates  1929-S,FB  +,,,,60,200  250,375  450,650  750,"1,500  1,750","3,000  7,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4978,Shop with Affiliates  1930,MS  +,5,6,11,35,65  85,110  130,175  225,275  400,"1,850  2,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4979,Shop with Affiliates  1930,FB  +,,,,65,150  175,300  400,600  750,"1,350  2,250","5,000  13,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4980,Shop with Affiliates  1930-S,MS  +,6,10,25,125,200  225,300  325,350  400,550  750,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4981,Shop with Affiliates  1930-S,FB  +,,,,150,250  275,400  500,"1,400  1,750","2,100  2,750","5,750  10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4982,Shop with Affiliates  1931,MS  +,6,10,16,65,125  135,150  175,225  275,350  650,"1,100  3,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4983,Shop with Affiliates  1931,FB  +,,,,100,200  225,300  400,750  900,"1,250  1,600","7,000  10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4984,Shop with Affiliates  1931-D,MS  +,12,20,60,125,200  225,265  325,425  475,550  650,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4985,Shop with Affiliates  1931-D,FB  +,,,,150,300  350,500  550,600  700,"1,000  1,250","3,250  6,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4986,Shop with Affiliates  1931-S,MS  +,8,12,30,125,225  265,325  340,365  425,550  650,"1,200  1,750",3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4987,Shop with Affiliates  1931-S,FB  +,,,,250,600  750,"1,250  1,800","3,250  3,750","6,750  9,250",25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4988,Shop with Affiliates  1934,MS  +,4,4,12,30,50  55,60  65,70  75,100  125,275  450,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
